trait	cho	clm
B-type natriuretic peptide to N-terminal pro B-type natriuretic peptide ratio	0;0.166666666666667;0.333333333333333;0.166666666666667;0.333333333333333;0.166666666666667;0;0;0.166666666666667;0.166666666666667;0;0;0.166666666666667;0;0.166666666666667;0.166666666666667;0;0.166666666666667;0.166666666666667;0.333333333333333;0;0.166666666666667;0.333333333333333;0.166666666666667;0.166666666666667;0.333333333333333;0.166666666666667;0.333333333333333;0.166666666666667;0.166666666666667;0.166666666666667;0.166666666666667;0.166666666666667;0;0.166666666666667;0.333333333333333;0.333333333333333;0.166666666666667;0.166666666666667;0;0.166666666666667;0;0.166666666666667;0.333333333333333;0.333333333333333;0;0;0;0.166666666666667;0;0;0;0.333333333333333;0.333333333333333;0;0;0.166666666666667;0.333333333333333;0;0;0.166666666666667;0.166666666666667;0.333333333333333;0;0;0;0.333333333333333;0.333333333333333;0;0;0;0;0.166666666666667;0;0.166666666666667;0.333333333333333;0.166666666666667;0.166666666666667;0.333333333333333;0;0.166666666666667;0.333333333333333;0.166666666666667;0.166666666666667;0.166666666666667;0;0;0.166666666666667;0;0.166666666666667;0;0;0;0	0.375;0.25;0.25;0.375;0.25;0.25;0;0.25;0;0.125;0.125;0.375;0.125;0.25;0.25;0.375;0.125;0;0.25;0.125;0.375;0.25;0.125;0.125;0.125;0.25;0.25;0.125;0.375;0.125;0.375;0.375;0;0.125;0.375;0.125;0.5;0.375;0.375;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0;0.125;0.25;0.375;0;0.375;0.25;0;0.125;0.25;0.25;0.125;0.125;0.125;0.375;0.25;0.125;0.25;0.125;0.25;0.125;0;0.125;0.125;0.25;0.125;0.125;0.25;0.25;0.125;0.25;0.125;0.5;0.25;0.125;0.125;0.25;0;0.125;0;0.125;0.375;0.25;0.125;0.125;0.25;0;0.375
Bulimia nervosa	0.875;0.75;0.90625;0.8125;0.84375;0.90625;0.84375;0.90625;0.875;0.875;1;0.84375;0.8125;0.71875;0.78125;0.96875;0.84375;0.84375;0.875;0.84375;0.78125;0.78125;0.9375;0.90625;0.84375;0.8125;0.875;0.75;0.9375;0.8125;0.78125;0.96875;0.84375;0.84375;0.875;0.8125;0.75;0.78125;0.84375;0.90625;0.65625;0.78125;0.6875;0.8125;0.71875;0.75;0.8125;0.8125;0.90625;0.8125;0.8125;0.9375;0.8125;0.90625;0.8125;0.78125;0.875;0.71875;0.6875;0.75;0.78125;0.875;0.8125;0.875;0.8125;0.8125;0.78125;0.90625;0.84375;0.9375;0.8125;0.78125;0.875;0.84375;0.8125;0.84375;0.8125;0.84375;0.71875;0.78125;0.96875;0.8125;0.78125;0.84375;0.84375;0.90625;0.78125;0.8125;0.9375;0.8125;0.78125;0.78125;0.84375;0.78125	0.91304347826087;0.91304347826087;0.869565217391304;0.934782608695652;0.891304347826087;0.804347826086957;0.91304347826087;0.956521739130435;0.934782608695652;0.934782608695652;0.91304347826087;0.826086956521739;0.869565217391304;0.826086956521739;0.869565217391304;0.934782608695652;0.934782608695652;0.956521739130435;0.891304347826087;0.956521739130435;0.91304347826087;0.869565217391304;0.804347826086957;0.782608695652174;0.934782608695652;0.891304347826087;0.91304347826087;0.934782608695652;0.934782608695652;0.869565217391304;0.869565217391304;0.934782608695652;0.934782608695652;0.91304347826087;0.847826086956522;0.804347826086957;0.891304347826087;0.847826086956522;0.891304347826087;0.934782608695652;0.978260869565217;0.91304347826087;0.978260869565217;0.891304347826087;0.91304347826087;0.934782608695652;0.934782608695652;0.891304347826087;0.869565217391304;0.826086956521739;0.847826086956522;0.934782608695652;0.91304347826087;0.826086956521739;0.869565217391304;0.91304347826087;0.956521739130435;0.91304347826087;0.847826086956522;0.91304347826087;0.869565217391304;0.978260869565217;0.891304347826087;0.934782608695652;0.891304347826087;0.91304347826087;0.956521739130435;0.91304347826087;0.891304347826087;0.891304347826087;0.847826086956522;0.869565217391304;0.891304347826087;0.891304347826087;0.891304347826087;0.847826086956522;0.826086956521739;0.891304347826087;0.934782608695652;0.804347826086957;0.934782608695652;0.847826086956522;0.891304347826087;0.91304347826087;1;0.91304347826087;0.869565217391304;0.891304347826087;0.804347826086957;0.91304347826087;0.891304347826087;0.91304347826087;0.869565217391304;0.847826086956522
Butyrylcholinesterase levels	0.166666666666667;0.166666666666667;0.5;0.666666666666667;0.333333333333333;0.333333333333333;0.5;0.5;0.333333333333333;0.333333333333333;0.166666666666667;0.666666666666667;0.333333333333333;0.5;0.5;0.666666666666667;0.666666666666667;0;0.666666666666667;0.666666666666667;0.5;0.333333333333333;0.166666666666667;0.5;0.5;0.333333333333333;0.5;0.5;0.333333333333333;0.333333333333333;0.166666666666667;0.666666666666667;0.333333333333333;0.333333333333333;0.5;0.166666666666667;0.333333333333333;0.666666666666667;0.5;0.833333333333333;0.166666666666667;0.833333333333333;0.5;0.833333333333333;0.5;0.333333333333333;0.333333333333333;0.333333333333333;0.5;0.5;0.5;0.666666666666667;0.666666666666667;0.5;0.333333333333333;0.166666666666667;0.166666666666667;0.333333333333333;0.166666666666667;0.5;0.5;0.333333333333333;0.333333333333333;0.5;0.5;0.333333333333333;0.5;0.5;0.5;0.5;0.5;0.333333333333333;0.333333333333333;0.333333333333333;0.166666666666667;0.666666666666667;0.333333333333333;0.833333333333333;0.333333333333333;0.166666666666667;0.333333333333333;0.166666666666667;0.666666666666667;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;0.5;0.333333333333333;0.333333333333333;0.333333333333333;0.166666666666667;0.333333333333333;0.166666666666667	0.5;0.166666666666667;0.5;0.5;0.5;0.5;0.666666666666667;0.666666666666667;0.333333333333333;0.5;0.5;0.333333333333333;0.166666666666667;0.333333333333333;0.166666666666667;0.5;0.333333333333333;0.666666666666667;0.333333333333333;0.333333333333333;0.666666666666667;0.166666666666667;0.166666666666667;0.5;0.333333333333333;0.333333333333333;0.333333333333333;0.166666666666667;0.333333333333333;0.166666666666667;0.333333333333333;0.166666666666667;0.666666666666667;0.166666666666667;0.333333333333333;0.333333333333333;0.666666666666667;0.333333333333333;0.5;0.166666666666667;0.333333333333333;0.166666666666667;0.333333333333333;0.166666666666667;0;0.5;0.166666666666667;0.166666666666667;0.333333333333333;0.333333333333333;0;0.5;0.666666666666667;0.5;0.5;0.333333333333333;0.333333333333333;0.166666666666667;0.333333333333333;0.333333333333333;0.333333333333333;0.166666666666667;0.333333333333333;0.5;0.333333333333333;0.166666666666667;0.333333333333333;0.166666666666667;0.5;0.333333333333333;0.333333333333333;0.166666666666667;0.166666666666667;0.5;0.333333333333333;0.166666666666667;0.166666666666667;0.5;0.333333333333333;0.666666666666667;0.5;0.166666666666667;0.5;0.5;0.166666666666667;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;0.666666666666667;0.5;0.5;0.5;0.5
Caffeine consumption	0.35;0.4;0.3;0.35;0.3;0.35;0.3;0.3;0.4;0.35;0.3;0.3;0.4;0.35;0.25;0.4;0.45;0.35;0.4;0.05;0.4;0.55;0.35;0.2;0.3;0.5;0.35;0.3;0.25;0.3;0.45;0.4;0.4;0.4;0.4;0.3;0.45;0.35;0.45;0.35;0.4;0.35;0.45;0.25;0.4;0.5;0.35;0.35;0.3;0.25;0.35;0.3;0.3;0.4;0.4;0.3;0.3;0.4;0.2;0.35;0.4;0.2;0.45;0.45;0.25;0.25;0.3;0.2;0.4;0.2;0.2;0.4;0.4;0.3;0.3;0.3;0.35;0.35;0.25;0.3;0.35;0.35;0.3;0.4;0.3;0.25;0.45;0.45;0.35;0.4;0.4;0.35;0.25;0.35	0.25;0.4;0.25;0.2;0.5;0.35;0.5;0.35;0.4;0.4;0.35;0.35;0.6;0.4;0.4;0.25;0.45;0.45;0.2;0.45;0.2;0.25;0.45;0.4;0.4;0.25;0.4;0.55;0.4;0.35;0.4;0.4;0.55;0.45;0.25;0.25;0.45;0.5;0.5;0.5;0.5;0.4;0.3;0.5;0.3;0.2;0.5;0.15;0.45;0.45;0.15;0.4;0.3;0.3;0.4;0.3;0.4;0.5;0.3;0.35;0.25;0.25;0.25;0.45;0.15;0.15;0.25;0.45;0.35;0.45;0.45;0.4;0.45;0.25;0.35;0.35;0.35;0.3;0.3;0.25;0.5;0.3;0.2;0.45;0.5;0.4;0.3;0.45;0.4;0.35;0.15;0.4;0.4;0.35
Calcaneal bone ultrasound measurement speed of sound	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5;1;1;1;1;1;1;0.5;1;1;1	1;1;1;1;1;1;1;1;1;1;1;0.5;1;1;1;1;1;1;1;0.5;1;1;1;1;1;1;1;1;1;1;1;1;0.5;1;1;1;0.5;0.5;1;1;1;1;1;1;1;1;1;0.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5;1;1;1;1;1;1;1
Caffeine metabolism plasma 1,3,7-trimethylxanthine caffeine level	0.3125;0.5;0.25;0.3125;0.125;0.25;0.3125;0.375;0.375;0.3125;0.1875;0.25;0.25;0.125;0.3125;0.375;0.4375;0.375;0.5625;0.1875;0.3125;0.4375;0.375;0.25;0.5;0.25;0.25;0.25;0.3125;0.375;0.1875;0.1875;0.3125;0.375;0.4375;0.375;0.625;0.5;0.375;0.5;0.3125;0.375;0.25;0.5;0.1875;0.4375;0.375;0.25;0.375;0.1875;0.375;0.375;0.25;0.25;0.25;0.1875;0.1875;0.5;0.5;0.1875;0.25;0.3125;0.25;0.5;0.125;0.4375;0.25;0.1875;0.375;0.25;0.5;0.375;0.3125;0.375;0.25;0.3125;0.3125;0.125;0.4375;0.3125;0.1875;0.25;0.3125;0.125;0.1875;0.5;0.5;0.25;0.25;0.1875;0.25;0.375;0.25;0.3125	0.363636363636364;0.409090909090909;0.454545454545455;0.363636363636364;0.181818181818182;0.545454545454545;0.590909090909091;0.409090909090909;0.318181818181818;0.5;0.272727272727273;0.590909090909091;0.454545454545455;0.454545454545455;0.454545454545455;0.5;0.363636363636364;0.454545454545455;0.181818181818182;0.272727272727273;0.181818181818182;0.590909090909091;0.272727272727273;0.318181818181818;0.363636363636364;0.5;0.318181818181818;0.681818181818182;0.454545454545455;0.363636363636364;0.409090909090909;0.454545454545455;0.363636363636364;0.363636363636364;0.227272727272727;0.272727272727273;0.409090909090909;0.681818181818182;0.227272727272727;0.363636363636364;0.227272727272727;0.318181818181818;0.318181818181818;0.5;0.363636363636364;0.5;0.318181818181818;0.409090909090909;0.181818181818182;0.5;0.454545454545455;0.409090909090909;0.5;0.5;0.363636363636364;0.409090909090909;0.5;0.590909090909091;0.272727272727273;0.272727272727273;0.363636363636364;0.545454545454545;0.318181818181818;0.545454545454545;0.363636363636364;0.181818181818182;0.545454545454545;0.590909090909091;0.545454545454545;0.5;0.318181818181818;0.545454545454545;0.363636363636364;0.318181818181818;0.363636363636364;0.272727272727273;0.363636363636364;0.227272727272727;0.5;0.409090909090909;0.363636363636364;0.363636363636364;0.5;0.545454545454545;0.454545454545455;0.454545454545455;0.181818181818182;0.409090909090909;0.318181818181818;0.545454545454545;0.5;0.272727272727273;0.318181818181818;0.318181818181818
Caffeine metabolism plasma 1,3-dimethylxanthine theophylline level	0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.5;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.625;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.5;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.5;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.625;0.25;0.25;0.25;0.25;0.25;0.25;0.375;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25	0.5;0.25;0.25;0.25;0.25;0.25;0.5;0.25;0.375;0.25;0.25;0.375;0.25;0.375;0.25;0.25;0.25;0.375;0.5;0.25;0.25;0.25;0.25;0.25;0.375;0.25;0.5;0.375;0.375;0.5;0.25;0.25;0.25;0.5;0.625;0.25;0.25;0.625;0.375;0.5;0.25;0.375;0.625;0.25;0.375;0.25;0.25;0.5;0.25;0.375;0.25;0.25;0.375;0.5;0.375;0.25;0.375;0.25;0.25;0.25;0.5;0.5;0.5;0.5;0.375;0.25;0.25;0.375;0.25;0.375;0.375;0.375;0.25;0.5;0.375;0.25;0.375;0.25;0.5;0.375;0.25;0.75;0.25;0.375;0.25;0.625;0.375;0.25;0.25;0.25;0.25;0.25;0.25;0.25
Caffeine metabolism plasma 1,7-dimethylxanthine paraxanthine level	0;1;0;0;1;1;1;1;0.5;0.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5;0.5;1;1;0.5;1;0.5;1;0.5;0;1;1;1;1;0.5;1;1;0.5;0.5;0.5;1;1;1;0.5;1;0.5;0.5;1;0;1;0.5;1;0.5;0.5;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5;0;1;1;1;0.5;1;1;1;0.5;0.5;0;1;1;1;1;1;1;0.5	0.75;1;0.5;1;0.75;0.5;0.75;0.75;0.5;0.5;0.5;0.75;1;0.25;0.75;0.5;0.5;0.75;0.5;0.75;0.5;1;0.75;0.75;0.5;0.25;0.5;0.75;0.5;0.25;0.5;0.25;0.75;0.25;0.25;0.25;0.5;0.75;0.75;0.5;0.5;0.75;0.5;0.75;0.5;0.5;0.5;0.75;0;1;1;0.5;0.5;0.5;0.75;0.25;0.5;0.25;0.5;0.5;0.25;0.25;0.5;0.25;1;0.25;0.75;0.5;0.75;0.75;0.5;0.5;0.75;0.5;0.75;0.5;0;0.25;0.5;1;0.25;1;0.5;0.5;0.5;1;0.75;0.75;0.75;0.25;1;0.75;0.75;0.75
Caffeine metabolism plasma 1,7-dimethylxanthine paraxanthine to 1,3,7-trimethylxanthine caffeine ratio	0.333333333333333;0.444444444444444;0.166666666666667;0.333333333333333;0.333333333333333;0.333333333333333;0.222222222222222;0.388888888888889;0.333333333333333;0.333333333333333;0.166666666666667;0.277777777777778;0.444444444444444;0.111111111111111;0.277777777777778;0.277777777777778;0.166666666666667;0.5;0.222222222222222;0.277777777777778;0.333333333333333;0.111111111111111;0.222222222222222;0.222222222222222;0.333333333333333;0.222222222222222;0.166666666666667;0.277777777777778;0.222222222222222;0.388888888888889;0.166666666666667;0.277777777777778;0.222222222222222;0.166666666666667;0.222222222222222;0.388888888888889;0.277777777777778;0.222222222222222;0.277777777777778;0.444444444444444;0.222222222222222;0.333333333333333;0.333333333333333;0.111111111111111;0.222222222222222;0.333333333333333;0.5;0.222222222222222;0.166666666666667;0.222222222222222;0.444444444444444;0.444444444444444;0.166666666666667;0.444444444444444;0.166666666666667;0.388888888888889;0.388888888888889;0.333333333333333;0.333333333333333;0.222222222222222;0.277777777777778;0.277777777777778;0.222222222222222;0.166666666666667;0.333333333333333;0.444444444444444;0.444444444444444;0.388888888888889;0.444444444444444;0.222222222222222;0.277777777777778;0.333333333333333;0.444444444444444;0.277777777777778;0.611111111111111;0.222222222222222;0.222222222222222;0.222222222222222;0.333333333333333;0.444444444444444;0.388888888888889;0.444444444444444;0.611111111111111;0.111111111111111;0.222222222222222;0.333333333333333;0.222222222222222;0.166666666666667;0.333333333333333;0.277777777777778;0.333333333333333;0.222222222222222;0.333333333333333;0.333333333333333	0.36;0.42;0.42;0.46;0.52;0.48;0.42;0.52;0.46;0.44;0.46;0.52;0.42;0.46;0.5;0.46;0.44;0.52;0.42;0.36;0.4;0.48;0.4;0.46;0.54;0.48;0.44;0.46;0.48;0.46;0.42;0.52;0.48;0.48;0.44;0.52;0.48;0.4;0.46;0.48;0.52;0.48;0.54;0.42;0.42;0.46;0.48;0.48;0.36;0.42;0.42;0.44;0.36;0.42;0.42;0.46;0.52;0.44;0.58;0.44;0.46;0.44;0.4;0.4;0.48;0.46;0.46;0.42;0.5;0.54;0.52;0.44;0.5;0.46;0.54;0.5;0.42;0.48;0.44;0.48;0.46;0.56;0.48;0.4;0.48;0.52;0.46;0.54;0.46;0.52;0.46;0.44;0.42;0.5
Caffeine metabolism plasma 3,7-dimethylxanthine theobromine level	None	0;1;0.5;0.5;0;0;0.5;0.5;0.5;0.5;1;0.5;1;0;0.5;0;0;0.5;1;0.5;0;0;0;0.5;0.5;0;1;0.5;1;0.5;0;0.5;1;0.5;0;0;0;0;0;0;0.5;0;0.5;1;1;0.5;0;1;0;0.5;1;0;0;0.5;0.5;0;0;0.5;0;1;0;0;0.5;0;0.5;0.5;0;0;0;0;0.5;0.5;1;0;0.5;0.5;1;0.5;1;0;1;1;1;0;0.5;0;0.5;0;0;0.5;0;0.5;0.5;0
Calcium levels	0.28125;0.421875;0.203125;0.265625;0.296875;0.234375;0.203125;0.203125;0.296875;0.25;0.25;0.21875;0.328125;0.296875;0.34375;0.296875;0.3125;0.1875;0.34375;0.1875;0.1875;0.265625;0.296875;0.21875;0.296875;0.234375;0.296875;0.25;0.375;0.3125;0.296875;0.296875;0.1875;0.34375;0.328125;0.296875;0.25;0.25;0.3125;0.21875;0.296875;0.390625;0.3125;0.25;0.21875;0.296875;0.15625;0.21875;0.28125;0.265625;0.25;0.34375;0.234375;0.265625;0.3125;0.28125;0.40625;0.21875;0.296875;0.21875;0.28125;0.265625;0.21875;0.25;0.296875;0.328125;0.3125;0.34375;0.328125;0.28125;0.296875;0.328125;0.25;0.1875;0.203125;0.171875;0.296875;0.171875;0.3125;0.3125;0.203125;0.296875;0.28125;0.296875;0.390625;0.3125;0.28125;0.34375;0.234375;0.296875;0.296875;0.296875;0.15625;0.21875	0.279411764705882;0.323529411764706;0.308823529411765;0.25;0.397058823529412;0.441176470588235;0.308823529411765;0.235294117647059;0.294117647058824;0.441176470588235;0.294117647058824;0.25;0.25;0.397058823529412;0.338235294117647;0.338235294117647;0.294117647058824;0.367647058823529;0.455882352941176;0.367647058823529;0.308823529411765;0.397058823529412;0.352941176470588;0.426470588235294;0.411764705882353;0.397058823529412;0.323529411764706;0.352941176470588;0.411764705882353;0.279411764705882;0.426470588235294;0.426470588235294;0.352941176470588;0.352941176470588;0.352941176470588;0.323529411764706;0.308823529411765;0.411764705882353;0.308823529411765;0.382352941176471;0.411764705882353;0.25;0.352941176470588;0.323529411764706;0.352941176470588;0.426470588235294;0.382352941176471;0.308823529411765;0.367647058823529;0.382352941176471;0.426470588235294;0.411764705882353;0.308823529411765;0.411764705882353;0.205882352941176;0.279411764705882;0.367647058823529;0.352941176470588;0.352941176470588;0.338235294117647;0.367647058823529;0.367647058823529;0.397058823529412;0.367647058823529;0.382352941176471;0.338235294117647;0.294117647058824;0.397058823529412;0.338235294117647;0.279411764705882;0.308823529411765;0.323529411764706;0.382352941176471;0.294117647058824;0.279411764705882;0.294117647058824;0.411764705882353;0.382352941176471;0.426470588235294;0.411764705882353;0.367647058823529;0.426470588235294;0.323529411764706;0.338235294117647;0.397058823529412;0.382352941176471;0.352941176470588;0.367647058823529;0.323529411764706;0.382352941176471;0.264705882352941;0.352941176470588;0.338235294117647;0.352941176470588
Callous-unemotional behaviour	0;0.5;0;0;0;0;0.25;0.5;0.75;0.25;0;0.25;0.25;0;0;0.25;0.25;0.25;0.25;0;0.25;0;0.25;0.25;0.25;0.25;0.25;0.25;0;0;0;0;0;0;0;0;0.5;0.5;0;0.25;0;0;0;0;0;0.25;0.25;0.25;0;0;0;0;0;0;0;0.5;0;0;0;0;0.5;0.25;0.25;0.5;0.25;0.25;0;0.25;0.25;0;0.25;0;0.25;0;0;0.25;0.25;0;0;0.25;0.25;0;0;0.5;0.25;0;0;0;0.25;0;0;0;0.25;0	0.5;0.333333333333333;0.666666666666667;0.5;0.5;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;0.166666666666667;0.333333333333333;0.333333333333333;0.333333333333333;0.666666666666667;0.333333333333333;0.5;0.333333333333333;0.5;0.166666666666667;0.333333333333333;0.666666666666667;0.333333333333333;0.5;0.666666666666667;0.333333333333333;0.833333333333333;0.333333333333333;0.166666666666667;0.666666666666667;0.666666666666667;0.333333333333333;0.833333333333333;0.333333333333333;0.5;0.333333333333333;0.166666666666667;0.333333333333333;0.333333333333333;0.166666666666667;0.5;0.5;0.5;0.5;0.666666666666667;0.166666666666667;0.666666666666667;0.666666666666667;0.666666666666667;0.5;0.5;0.5;0;0.666666666666667;0.5;0.666666666666667;0.5;0.5;0.333333333333333;0.333333333333333;0.666666666666667;0.5;0.666666666666667;0.5;0;0.5;0.5;0.5;0.5;0.5;0.5;0.166666666666667;0.5;0.333333333333333;0.166666666666667;0.333333333333333;0.666666666666667;0.333333333333333;0.5;0.333333333333333;0.833333333333333;0.5;0.333333333333333;0.666666666666667;0.666666666666667;0.833333333333333;0.666666666666667;0.166666666666667;0.5;0.333333333333333;0.333333333333333;0.166666666666667;0.333333333333333
Cancer pleiotropy	0.533333333333333;0.466666666666667;0.5;0.5;0.5;0.666666666666667;0.433333333333333;0.533333333333333;0.6;0.533333333333333;0.533333333333333;0.566666666666667;0.5;0.533333333333333;0.5;0.433333333333333;0.366666666666667;0.5;0.533333333333333;0.533333333333333;0.466666666666667;0.466666666666667;0.466666666666667;0.5;0.566666666666667;0.4;0.466666666666667;0.566666666666667;0.466666666666667;0.5;0.6;0.366666666666667;0.466666666666667;0.4;0.533333333333333;0.6;0.533333333333333;0.466666666666667;0.566666666666667;0.433333333333333;0.5;0.6;0.3;0.6;0.433333333333333;0.533333333333333;0.5;0.533333333333333;0.466666666666667;0.533333333333333;0.5;0.466666666666667;0.4;0.566666666666667;0.533333333333333;0.566666666666667;0.533333333333333;0.433333333333333;0.4;0.633333333333333;0.5;0.666666666666667;0.5;0.433333333333333;0.5;0.533333333333333;0.566666666666667;0.4;0.466666666666667;0.533333333333333;0.533333333333333;0.533333333333333;0.366666666666667;0.5;0.466666666666667;0.433333333333333;0.433333333333333;0.566666666666667;0.433333333333333;0.5;0.466666666666667;0.6;0.533333333333333;0.433333333333333;0.433333333333333;0.5;0.633333333333333;0.533333333333333;0.5;0.666666666666667;0.4;0.533333333333333;0.466666666666667;0.466666666666667	0.409090909090909;0.272727272727273;0.318181818181818;0.25;0.409090909090909;0.272727272727273;0.318181818181818;0.340909090909091;0.454545454545455;0.386363636363636;0.431818181818182;0.409090909090909;0.318181818181818;0.340909090909091;0.25;0.386363636363636;0.386363636363636;0.409090909090909;0.318181818181818;0.318181818181818;0.363636363636364;0.295454545454545;0.295454545454545;0.204545454545455;0.386363636363636;0.363636363636364;0.363636363636364;0.272727272727273;0.295454545454545;0.318181818181818;0.340909090909091;0.340909090909091;0.318181818181818;0.386363636363636;0.295454545454545;0.431818181818182;0.318181818181818;0.25;0.409090909090909;0.386363636363636;0.318181818181818;0.340909090909091;0.295454545454545;0.340909090909091;0.409090909090909;0.363636363636364;0.409090909090909;0.386363636363636;0.295454545454545;0.340909090909091;0.386363636363636;0.340909090909091;0.409090909090909;0.272727272727273;0.318181818181818;0.363636363636364;0.409090909090909;0.363636363636364;0.340909090909091;0.363636363636364;0.409090909090909;0.25;0.340909090909091;0.318181818181818;0.363636363636364;0.227272727272727;0.295454545454545;0.363636363636364;0.318181818181818;0.318181818181818;0.386363636363636;0.227272727272727;0.409090909090909;0.25;0.363636363636364;0.318181818181818;0.295454545454545;0.340909090909091;0.340909090909091;0.386363636363636;0.386363636363636;0.386363636363636;0.431818181818182;0.340909090909091;0.386363636363636;0.363636363636364;0.340909090909091;0.318181818181818;0.272727272727273;0.318181818181818;0.454545454545455;0.363636363636364;0.272727272727273;0.318181818181818
